row_num,title,brand,ratings_cleaned,unit_sold_last_month,current/discounted_price,price_on_variant,listed_price,is_best_seller,is_sponsored,is_couponed,buy_box_availability,delivery_date,sustainability_badges,collected_at
1,"Amazon Basics 48-Pack AA Alkaline High-Performance Batteries, 1.5 Volt, 10-Year Shelf Life","Amazon Basics",4.7,100000,14.99,NULL,NULL,yes,no,no,"In Stock",2025-08-29,"Safer chemicals","2025-08-21 11:14:29"
1,"Amazon Basics AAA Alkaline High-Performance Batteries, 1.5 Volt, 10-Year Shelf Life, 36 Count (Pack of 1)","Amazon Basics",4.7,100000,14.49,NULL,NULL,yes,no,no,"In Stock",2025-08-29,"Safer chemicals","2025-08-21 11:14:29"
1,"Amazon Basics Clear Thermal Laminating Plastic Paper Laminator Sheets, 9 x 11.5-Inch, 200-Pack, 3mil","Amazon Basics",4.8,100000,16.98,13.88,NULL,yes,no,no,"In Stock",2025-08-29,NULL,"2025-08-21 11:14:29"
1,"Amazon Basics Micro SDXC Memory Card with Full Size Adapter, A2, U3, Read Speed up to 100 MB/s, 128 GB, Black","Amazon Basics",4.7,10000,11.06,10.12,NULL,yes,no,no,"In Stock",2025-08-29,NULL,"2025-08-21 11:14:46"
1,"Amazon Basics Multipurpose Copy Printer Paper, 20 lb, 8.5 x 11 Inches, 8 Reams (4,000 Sheets), 92 Bright, White","Amazon Basics",4.8,80000,39.97,38.86,NULL,yes,no,no,"In Stock",2025-09-01,"sustainability certification","2025-08-21 11:14:29"
1,"Amazon Basics Wood-Cased #2 Pencils, Pre-sharpened, HB Lead Bulk Box, 150 Count, Yellow","Amazon Basics",4.8,100000,9.89,8.87,14.33,no,no,no,"In Stock",2025-08-29,NULL,"2025-08-21 11:14:29"
1,"Apple 2025 MacBook Air 13-inch Laptop with M4 chip: Built for Apple Intelligence, 13.6-inch Liquid Retina Display, 16GB Unified Memory, 256GB SSD Storage, 12MP Center Stage Camera, Touch ID; Midnight",Apple,4.8,10000,NULL,880.95,NULL,yes,no,no,"Out of Stock",NULL,"Energy efficiency","2025-08-21 11:14:29"
1,"Apple AirPods 4 Wireless Earbuds, Bluetooth Headphones, Personalized Spatial Audio, Sweat and Water Resistant, USB-C Charging Case, H2 Chip, Up to 30 Hours of Battery Life, Effortless Setup for iPhone",Apple,4.5,10000,NULL,88.11,NULL,no,no,no,"Out of Stock",NULL,NULL,"2025-08-21 11:14:29"
1,"Apple AirPods Pro 2 Wireless Earbuds, Active Noise Cancellation, Hearing Aid Feature, Bluetooth Headphones, Transparency, Personalized Spatial Audio, High-Fidelity Sound, H2 Chip, USB-C Charging",Apple,4.6,10000,NULL,162.24,NULL,yes,no,no,"Out of Stock",NULL,NULL,"2025-08-21 11:14:29"
1,"Apple AirTag 4 Pack. Keep Track of and find Your Keys, Wallet, Luggage, Backpack, and More. Simple one-tap Set up with iPhone or iPad",Apple,4.8,10000,NULL,72.74,NULL,no,no,no,"Out of Stock",NULL,NULL,"2025-08-21 11:14:29"
1,"Apple AirTag. Keep Track of and find Your Keys, Wallet, Luggage, Backpack, and More. Simple one-tap Set up with iPhone or iPad",Apple,4.6,10000,NULL,23.04,NULL,yes,no,no,"Out of Stock",NULL,NULL,"2025-08-21 11:14:29"
1,"Apple EarPods Headphones with USB-C Plug, Wired Ear Buds with Built-in Remote to Control Music, Phone Calls, and Volume",Apple,4.6,10000,NULL,16.10,NULL,no,no,no,"Out of Stock",NULL,NULL,"2025-08-21 11:14:29"
1,"Apple iPad 11-inch: A16 chip, 11-inch Model, Liquid Retina Display, 128GB, Wi-Fi 6, 12MP Front/12MP Back Camera, Touch ID, All-Day Battery Life â€” Blue",Apple,4.7,10000,NULL,284.05,NULL,yes,no,no,"Out of Stock",NULL,"Energy efficiency","2025-08-21 11:14:29"
1,"Apple Watch SE (2nd Gen) [GPS 40mm] Smartwatch with Starlight Aluminum Case with Starlight Sport Band S/M. Fitness and Sleep Trackers, Crash Detection, Heart Rate Monitor, Retina Display",Apple,4.6,10000,NULL,146.14,NULL,no,no,no,"Out of Stock",NULL,NULL,"2025-08-21 11:14:29"
1,"BOYA BOYALINK 2 Wireless Lavalier Microphone for iPhone Camera Android, Mini Lapel Micophone Wireless, 48 KHz 24 Bit, 6mm Mic, 1000ft, 30h Use, Noise Cancelling, Clip on Mic USB-C/Lightning/3.5mm TRS",Boya,4.6,300,89.68,NULL,159.00,no,yes,yes,"In Stock",2025-09-01,"Carbon impact","2025-08-21 11:14:29"
1,"Complete Protect: One plan covers all eligible past and future purchases on Amazon",other,4.0,NULL,16.99,NULL,NULL,no,no,yes,"Out of Stock",NULL,NULL,"2025-08-21 11:14:29"
1,"DJI Mic 2 (2 TX + 1 RX + Charging Case), Wireless Lavalier Microphone, Intelligent Noise Cancelling, 32-bit Float Internal Recording, 820 ft.(250m) Range, Microphone for iPhone, Android, Camera",DJI,4.6,2000,314.00,NULL,349.00,no,yes,no,"In Stock",2025-09-01,NULL,"2025-08-21 11:14:29"
1,"Duracell 2032 Lithium Battery. 4 Count Pack. Child Safety Features. Compatible with Apple AirTag, Key Fob, and other devices. CR2032 3V Cell. 2032 Battery, Lithium Coin",Apple,4.7,100000,NULL,NULL,NULL,yes,no,no,"Out of Stock",NULL,NULL,"2025-08-21 11:14:29"
1,"Duracell Coppertop AA Batteries with Power Boost Ingredients, 24 Count Pack Double A Battery with Long-lasting Power, Alkaline AA Battery for Household and Office Devices",Duracell,4.8,80000,18.79,NULL,21.89,no,no,no,"In Stock",2025-08-29,NULL,"2025-08-21 11:14:29"
1,"Energizer AA Batteries Alkaline Power, 32 Count Alkaline Double A Battery Pack",Energizer,4.8,100000,16.95,16.78,19.98,no,no,no,"In Stock",2025-08-29,NULL,"2025-08-21 11:14:29"
1,"Energizer Alkaline Power AAA Batteries, 32 Count, Long-Lasting Triple A Batteries, Suitable for Everyday Electronics and Emergency Gear",Energizer,4.8,70000,15.15,14.77,17.99,no,no,no,"In Stock",2025-08-29,NULL,"2025-08-21 11:14:29"
1,"Energizer Ultimate Lithium AA Batteries Pack, 1.5V AA Batteries, 24 Count",Energizer,4.7,40000,NULL,NULL,NULL,no,no,no,"Out of Stock",NULL,NULL,"2025-08-21 11:14:46"
1,"HP 67 Black/Tri-color Ink Cartridges for HP Printers | Works with Printer Series: DeskJet 1255, 2700, 4100; ENVY 6000, 6400 | Eligible for Instant Ink | 3YP29AN",HP,4.6,50000,NULL,43.89,NULL,no,no,no,"Out of Stock",NULL,NULL,"2025-08-21 11:14:29"
1,"HP 67XL Black High-yield Ink Cartridge | Works with HP DeskJet 1255, 2700, 4100 Series, HP ENVY 6000, 6400 Series | Eligible for Instant Ink | One Size | 3YM57AN",HP,4.6,50000,NULL,35.89,NULL,yes,no,no,"Out of Stock",NULL,"Manufacturing practices","2025-08-21 11:14:29"
1,"LISEN USB C to Lightning Cable, 240W 4 in 1 Charging Cable 6.6FT, Chubby USB A/C to C/Lightning with Light for iPhone 16e 15 14 Pro/MacBook Air 17/iPad/Samsung/Switch 2, Multi Chargers for All Devices",Lisen,4.3,6000,9.99,NULL,15.99,no,yes,no,"In Stock",2025-08-29,NULL,"2025-08-21 11:14:29"
1,"Mounting Dream TV Wall Mount for 32-65 Inch Television,Mount with Swivel and Tilt, Full Motion Bracket with Articulating Dual Arms, Fits 16inch Studs, Max VESA 400X400 mm, 99lbs, MD2380","Mounting Dream",4.8,10000,39.97,NULL,48.99,yes,no,no,"In Stock",2025-08-29,NULL,"2025-08-21 11:14:46"
1,"OWC 2.0TB Aura Pro X2 (GEN 4) SSD Complete Upgrade Solution Compatible with Mac Pro (Late 2013), High Performance NVMe Flash Upgrade, Including Tools, heatsink, and Envoy Pro Enclosure",OWC,4.4,NULL,239.99,NULL,NULL,no,yes,no,"In Stock",2025-09-01,NULL,"2025-08-21 11:14:29"
1,"OWC 250GB Aura Pro 6G Flash SSD Upgrade for 2012 MacBook Air",OWC,4.6,NULL,42.99,NULL,NULL,no,yes,no,"In Stock",2025-09-01,NULL,"2025-08-21 11:14:29"
1,"Peak Design Slide Lite Camera Strap, Black, Configurable as a Sling, Neck or Shoulder Strap, Quick Release and Connection, Smooth and Grippy Side, Camera Straps for Photographers, 200 lb Capacity","Peak Design",4.7,500,69.95,NULL,NULL,no,yes,no,"In Stock",2025-08-29,"Small Business","2025-08-21 11:14:29"
1,"Razer Seiren V3 Chroma RGB USB Microphone: Stream & Game Reactive Lighting - Tap-to-Mute Sensor - Condenser Mic - Digital Gain Limiter & Shock Absorber - PC, Discord, OBS Studio, XSplit - Quartz Pink",Razer,4.5,NULL,134.39,NULL,NULL,no,yes,no,"In Stock",2025-09-01,"Manufacturing practices","2025-08-21 11:14:29"
1,"Roku Streaming Stick HD 2025 â€” HD Streaming Device for TV with Roku Voice Remote, Free & Live TV",Roku,4.6,10000,NULL,33.51,NULL,no,no,no,"Out of Stock",NULL,"Works with Alexa","2025-08-21 11:14:29"
1,"Seagate IronWolf 12TB NAS Internal Hard Drive HDD â€“ CMR 3.5 Inch SATA 6Gb/s 7200 RPM 256MB Cache for RAID Network Attached Storage (ST12000VNZ008/ST12000VN0008)",Seagate,4.4,1000,249.99,NULL,NULL,no,yes,no,"In Stock",2025-09-01,NULL,"2025-08-21 11:14:29"
1,"Sony ZX Series Wired On-Ear Headphones, Black MDR-ZX110",Sony,4.5,10000,NULL,9.54,NULL,yes,no,no,"Out of Stock",NULL,NULL,"2025-08-21 11:14:29"
1,"Texas Instruments TI-30XIIS Scientific Calculator, Black with Blue Accents","Texas Instruments",4.7,100000,NULL,17.45,NULL,yes,no,no,"Out of Stock",NULL,NULL,"2025-08-21 11:14:29"
1,"Texas Instruments TI-30XS MultiView Scientific Calculator","Texas Instruments",4.8,70000,16.99,9.99,20.00,no,no,no,"In Stock",2025-08-29,NULL,"2025-08-21 11:14:46"
1,"Texas Instruments TI-84 Plus CE Color Graphing Calculator, Black","Texas Instruments",4.6,100000,NULL,99.95,NULL,yes,no,no,"Out of Stock",NULL,NULL,"2025-08-21 11:14:29"
1,"Transformers TF-T01 True Wireless Earbuds Wireless Bluetooth 5.4 Ear Buds Deep Bass Sound Earbud with Smart Noise Cancelling Mic IPX5 Waterproof in Ear Earphones for Android iOS Blue Optimus Prime",Transformers,4.2,100,29.99,NULL,NULL,no,yes,no,"In Stock",2025-09-01,NULL,"2025-08-21 11:14:29"
